::1 - - [17/Oct/2019:19:08:26 +0000] "OPTIONS /alunos/undefined HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:08:26 +0000] "DELETE /alunos/undefined HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:09:42 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:09:43 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:09:44 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:09:45 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:09:47 +0000] "OPTIONS /alunos/undefined HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:09:48 +0000] "DELETE /alunos/undefined HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:09:56 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:00 +0000] "OPTIONS /alunos/undefined HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:00 +0000] "DELETE /alunos/undefined HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:10:42 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:43 +0000] "OPTIONS /alunos/undefined HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:43 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:10:44 +0000] "DELETE /alunos/undefined HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:10:55 +0000] "OPTIONS /alunos/undefined HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:55 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:55 +0000] "DELETE /alunos/undefined HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:10:55 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:10:58 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:10:58 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:11:01 +0000] "OPTIONS /alunos/1 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:11:01 +0000] "DELETE /alunos/1 HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:11:05 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:11:06 +0000] "GET /alunos HTTP/1.1" 200 2563
::1 - - [17/Oct/2019:19:11:09 +0000] "OPTIONS /alunos/2 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:11:09 +0000] "DELETE /alunos/2 HTTP/1.1" 401 12
::1 - - [17/Oct/2019:19:11:12 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:11:12 +0000] "GET /alunos HTTP/1.1" 200 2363
::1 - - [17/Oct/2019:19:11:20 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:11:20 +0000] "GET /alunos/3 HTTP/1.1" 200 218
::1 - - [17/Oct/2019:19:12:11 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:12:11 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:12:12 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:12:12 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:12:57 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:12:58 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:12:58 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:12:58 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:14 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:14 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:15 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:15 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:27 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:27 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:28 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:28 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:54 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:54 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:13:54 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:13:54 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:14:06 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:14:06 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:14:06 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:14:07 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:23 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:15:24 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:25 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:15:25 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:47 +0000] "OPTIONS /alunos/3 HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:15:47 +0000] "OPTIONS /alunos HTTP/1.1" 204 0
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
::1 - - [17/Oct/2019:19:15:48 +0000] "GET /alunos/3 HTTP/1.1" 304 -
